strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_weight_1,additive_2,additive_weight_2,additive_3,additive_weight_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
yyyyyyy,0,Bulgur,62,Hemp,119.0,Sawdust,194.0,Grass,251.0,Grass,335.0,cellulose,387.0,CaCO,442.0,cellulose,71.0,0.43,1,25,0.92,20,1500,Non-Pressed,85,52,5,70,0.025
zzzzzzzz,0,Bulgur,97,Rapstraw,84.0,Biertreber,212.0,Straw,289.0,Hemp,315.0,cellulose,437.0,CaCO,51.0,CaSO4,411.0,0.36,1,27,0.71,21,1500,Non-Pressed,70,17,53,85,0.014
zzzzzzzz,0,BierTreber,96,Sawdust,350.0,Rapstraw,56.0,Grass,369.0,Rapstraw,125.0,cellulose,412.0,CaSO4,362.0,cellulose,126.0,0.36,1,24,0.78,9,1000,Non-Pressed,85,71,29,70,0.08
yyyyyyy,1,Oatmeal,92,Rapstraw,101.0,Hemp,202.0,Rapstraw,360.0,Rapstraw,237.0,CaCO,287.0,cellulose,346.0,CaSO4,267.0,0.38,1,21,0.62,5,1500,Non-Pressed,70,37,53,80,0.098
zzzzzzzz,1,Buckwheat,80,Hemp,179.0,Vegiplants,496.0,Sawdust,202.0,Grass,23.0,cellulose,335.0,CaSO4,201.0,CaSO4,364.0,0.35,1,20,0.85,15,4500,Non-Pressed,70,19,5,80,0.014
yyyyyyy,0,Buckwheat,51,Straw,237.0,Straw,357.0,Rapstraw,171.0,Sawdust,135.0,cellulose,54.0,cellulose,492.0,CaSO4,354.0,0.55,1,28,0.83,21,1000,Cold-Pressed,75,11,29,70,0.039
zzzzzzzz,1,Bulgur,88,Sawdust,235.0,Hemp,164.0,Sawdust,256.0,Sawdust,245.0,cellulose,318.0,cellulose,140.0,CaCO,442.0,0.33,0,28,0.88,18,4500,Non-Pressed,80,48,65,80,0.066
yyyyyyy,0,BierTreber,67,Vegiplants,232.0,Biertreber,232.0,Vegiplants,148.0,Sawdust,287.0,cellulose,201.0,cellulose,307.0,CaCO,392.0,0.35,1,20,0.71,5,1000,Cold-Pressed,75,28,5,85,0.069
xxxxx,0,Barley,71,Vegiplants,237.0,Sawdust,414.0,Straw,210.0,Grass,39.0,cellulose,45.0,CaCO,536.0,CaCO,320.0,0.52,0,18,0.95,18,3500,Cold-Pressed,85,18,65,70,0.01
zzzzzzzz,0,BierTreber,50,Sawdust,296.0,Sawdust,173.0,Rapstraw,165.0,Vegiplants,265.0,CaSO4,243.0,CaSO4,170.0,cellulose,486.0,0.38,0,28,0.81,10,500,Non-Pressed,85,42,29,80,0.07
yyyyyyy,0,Buckwheat,97,Vegiplants,387.0,Hemp,91.0,Straw,150.0,Vegiplants,272.0,CaCO,29.0,CaCO,440.0,CaCO,431.0,0.49,0,26,0.91,21,4000,Hot-Pressed,80,24,53,80,0.051
xxxxx,0,Oatmeal,53,Straw,265.0,Vegiplants,216.0,Straw,276.0,Rapstraw,144.0,CaSO4,330.0,cellulose,300.0,CaCO,270.0,0.52,1,21,0.81,25,1500,Hot-Pressed,75,25,53,85,0.083
yyyyyyy,0,Bulgur,74,Hemp,302.0,Rapstraw,36.0,Vegiplants,380.0,Vegiplants,182.0,CaCO,140.0,cellulose,594.0,CaSO4,166.0,0.58,1,24,0.69,17,2000,Hot-Pressed,70,34,17,75,0.015
yyyyyyy,1,BierTreber,69,Rapstraw,39.0,Vegiplants,348.0,Sawdust,160.0,Grass,353.0,CaCO,367.0,CaSO4,14.0,CaSO4,519.0,0.37,0,24,0.65,9,2500,Hot-Pressed,80,45,41,85,0.048
zzzzzzzz,1,BierTreber,59,Straw,289.0,Biertreber,151.0,Biertreber,385.0,Straw,75.0,CaCO,210.0,cellulose,158.0,CaSO4,532.0,0.46,0,22,0.66,11,4500,Hot-Pressed,80,64,53,70,0.09
yyyyyyy,0,Oatmeal,92,Sawdust,371.0,Biertreber,165.0,Biertreber,12.0,Sawdust,351.0,CaSO4,119.0,cellulose,461.0,cellulose,320.0,0.59,0,24,0.95,24,2000,Cold-Pressed,70,67,17,75,0.07
xxxxx,1,Oatmeal,98,Biertreber,46.0,Vegiplants,79.0,Hemp,404.0,Straw,371.0,cellulose,211.0,cellulose,309.0,CaSO4,380.0,0.45,0,21,0.91,22,2000,Non-Pressed,70,36,53,75,0.041
yyyyyyy,1,Barley,72,Rapstraw,87.0,Straw,225.0,Rapstraw,296.0,Vegiplants,292.0,CaSO4,294.0,cellulose,64.0,CaSO4,543.0,0.35,1,23,0.82,20,2500,Non-Pressed,85,65,29,75,0.073
yyyyyyy,0,Buckwheat,99,Vegiplants,73.0,Rapstraw,236.0,Grass,272.0,Biertreber,319.0,CaCO,574.0,CaSO4,254.0,cellulose,72.0,0.46,1,21,0.7,25,1000,Hot-Pressed,70,61,53,70,0.084
xxxxx,0,Barley,83,Hemp,32.0,Vegiplants,140.0,Straw,321.0,Hemp,407.0,CaCO,241.0,CaCO,287.0,CaSO4,372.0,0.31,1,26,0.83,11,2000,Cold-Pressed,70,57,53,80,0.086
zzzzzzzz,0,BierTreber,93,Grass,140.0,Sawdust,124.0,Rapstraw,328.0,Grass,308.0,CaCO,272.0,CaSO4,488.0,cellulose,141.0,0.5,1,25,0.83,8,1500,Hot-Pressed,70,19,5,85,0.064
zzzzzzzz,0,Buckwheat,76,Straw,258.0,Biertreber,248.0,Rapstraw,169.0,Straw,225.0,cellulose,539.0,CaSO4,329.0,CaCO,32.0,0.53,1,18,0.84,12,4000,Non-Pressed,85,61,29,80,0.067
xxxxx,0,Bulgur,87,Rapstraw,289.0,Vegiplants,46.0,Biertreber,268.0,Hemp,297.0,cellulose,225.0,CaCO,173.0,CaCO,502.0,0.39,1,24,0.61,23,2000,Non-Pressed,75,40,41,70,0.048
yyyyyyy,0,Barley,76,Straw,229.0,Biertreber,320.0,Sawdust,4.0,Biertreber,348.0,cellulose,210.0,CaSO4,424.0,CaSO4,266.0,0.57,1,23,0.87,24,2500,Hot-Pressed,70,36,17,75,0.082
xxxxx,1,Bulgur,66,Biertreber,361.0,Biertreber,443.0,Straw,24.0,Rapstraw,72.0,cellulose,335.0,CaSO4,282.0,CaCO,282.0,0.59,0,23,0.6,23,1500,Cold-Pressed,80,63,53,80,0.091
zzzzzzzz,1,Bulgur,79,Biertreber,123.0,Vegiplants,254.0,Grass,149.0,Grass,373.0,cellulose,350.0,cellulose,11.0,CaSO4,539.0,0.36,0,27,0.67,18,2500,Cold-Pressed,70,77,65,75,0.001
zzzzzzzz,0,Buckwheat,66,Sawdust,160.0,Hemp,183.0,Sawdust,374.0,Vegiplants,183.0,CaCO,178.0,CaSO4,361.0,CaCO,361.0,0.52,1,22,0.75,24,3500,Cold-Pressed,75,47,5,70,0.096
xxxxx,0,Oatmeal,81,Vegiplants,55.0,Straw,458.0,Grass,76.0,Straw,311.0,CaSO4,492.0,CaCO,204.0,cellulose,204.0,0.57,1,25,0.81,21,3000,Cold-Pressed,80,17,41,75,0.096
yyyyyyy,1,Oatmeal,91,Hemp,79.0,Rapstraw,247.0,Hemp,274.0,Straw,300.0,CaCO,229.0,CaSO4,317.0,CaCO,354.0,0.32,1,27,0.81,20,2000,Non-Pressed,85,41,41,85,0.089
xxxxx,0,Oatmeal,85,Biertreber,222.0,Straw,111.0,Rapstraw,217.0,Biertreber,349.0,cellulose,392.0,CaCO,328.0,CaCO,180.0,0.44,1,26,0.67,23,4000,Hot-Pressed,70,44,65,80,0.018
zzzzzzzz,1,Bulgur,80,Straw,554.0,Sawdust,108.0,Sawdust,208.0,Hemp,31.0,CaSO4,60.0,CaCO,434.0,cellulose,407.0,0.4,1,20,0.64,7,4500,Non-Pressed,75,56,53,85,0.051
yyyyyyy,0,Buckwheat,86,Biertreber,292.0,Rapstraw,346.0,Hemp,63.0,Straw,199.0,cellulose,245.0,cellulose,208.0,CaCO,447.0,0.44,1,27,0.6,9,2000,Hot-Pressed,70,41,65,80,0.046
zzzzzzzz,0,Oatmeal,100,Sawdust,63.0,Hemp,359.0,Straw,375.0,Straw,103.0,cellulose,418.0,CaCO,382.0,CaSO4,101.0,0.32,0,19,0.61,6,2500,Cold-Pressed,80,14,5,80,0.097
zzzzzzzz,0,Oatmeal,57,Sawdust,136.0,Grass,164.0,Vegiplants,409.0,Rapstraw,191.0,CaCO,610.0,cellulose,231.0,CaSO4,60.0,0.45,0,24,0.82,6,3000,Hot-Pressed,70,48,53,70,0.052
zzzzzzzz,1,Oatmeal,71,Biertreber,84.0,Straw,216.0,Vegiplants,126.0,Hemp,474.0,CaCO,345.0,CaSO4,101.0,CaCO,455.0,0.41,1,26,0.87,8,2000,Hot-Pressed,70,80,41,85,0.043
zzzzzzzz,0,BierTreber,96,Straw,200.0,Sawdust,367.0,Rapstraw,107.0,Vegiplants,226.0,CaSO4,231.0,cellulose,17.0,CaCO,651.0,0.48,1,22,0.66,18,2000,Non-Pressed,70,54,17,80,0.082
yyyyyyy,0,Oatmeal,99,Hemp,92.0,Grass,197.0,Vegiplants,193.0,Grass,418.0,CaCO,434.0,CaCO,109.0,cellulose,357.0,0.5,1,26,0.66,23,500,Cold-Pressed,75,41,65,70,0.076
xxxxx,1,Barley,81,Sawdust,272.0,Hemp,97.0,Rapstraw,203.0,Rapstraw,328.0,cellulose,329.0,cellulose,477.0,CaCO,93.0,0.49,1,22,0.67,17,4500,Hot-Pressed,85,37,17,70,0.085
yyyyyyy,0,Oatmeal,62,Vegiplants,317.0,Hemp,70.0,Grass,285.0,Rapstraw,228.0,CaSO4,609.0,cellulose,265.0,CaCO,26.0,0.5,1,27,0.72,9,2000,Cold-Pressed,85,50,17,80,0.073
zzzzzzzz,0,Oatmeal,55,Grass,324.0,Vegiplants,160.0,Straw,368.0,Rapstraw,48.0,CaSO4,54.0,CaSO4,432.0,cellulose,414.0,0.53,1,27,0.73,14,3000,Hot-Pressed,75,35,65,80,0.077
xxxxx,0,Bulgur,73,Vegiplants,189.0,Vegiplants,342.0,Straw,326.0,Sawdust,42.0,cellulose,488.0,CaSO4,278.0,CaSO4,135.0,0.54,0,23,0.76,12,4000,Cold-Pressed,75,54,65,75,0.021
zzzzzzzz,1,Barley,66,Rapstraw,159.0,Vegiplants,259.0,Grass,213.0,Rapstraw,269.0,CaCO,184.0,cellulose,319.0,CaSO4,397.0,0.48,1,27,0.91,15,1500,Non-Pressed,80,60,5,75,0.077
xxxxx,1,Oatmeal,98,Straw,36.0,Biertreber,345.0,Biertreber,227.0,Grass,291.0,cellulose,394.0,CaCO,245.0,cellulose,261.0,0.56,1,25,0.72,9,1000,Cold-Pressed,70,77,17,75,0.034
xxxxx,0,BierTreber,64,Straw,503.0,Hemp,173.0,Biertreber,196.0,Straw,28.0,CaSO4,154.0,CaSO4,645.0,CaCO,101.0,0.5,1,22,0.92,14,2500,Hot-Pressed,75,39,65,75,0.018
xxxxx,1,Oatmeal,74,Straw,250.0,Vegiplants,162.0,Straw,209.0,Rapstraw,279.0,CaSO4,201.0,cellulose,419.0,CaSO4,280.0,0.43,1,21,0.62,21,1500,Hot-Pressed,75,56,29,75,0.016
zzzzzzzz,0,BierTreber,64,Hemp,171.0,Sawdust,52.0,Straw,327.0,Hemp,350.0,CaSO4,315.0,CaSO4,281.0,CaCO,305.0,0.47,1,27,0.61,8,4500,Cold-Pressed,70,73,41,70,0.049
yyyyyyy,0,Buckwheat,67,Rapstraw,88.0,Biertreber,271.0,Vegiplants,171.0,Sawdust,370.0,CaCO,90.0,CaSO4,420.0,CaCO,390.0,0.46,1,26,0.6,5,1000,Hot-Pressed,70,62,41,70,0.045
yyyyyyy,0,Barley,95,Grass,147.0,Vegiplants,437.0,Straw,267.0,Biertreber,49.0,CaSO4,255.0,CaCO,416.0,cellulose,229.0,0.45,0,23,0.92,12,4000,Cold-Pressed,80,43,53,75,0.064
zzzzzzzz,1,Barley,62,Hemp,423.0,Hemp,85.0,Biertreber,325.0,Sawdust,68.0,CaSO4,793.0,cellulose,91.0,CaCO,17.0,0.49,0,19,0.86,8,2000,Hot-Pressed,85,47,17,75,0.096
xxxxx,0,BierTreber,63,Biertreber,304.0,Vegiplants,165.0,Hemp,63.0,Sawdust,368.0,CaCO,350.0,CaSO4,258.0,CaSO4,292.0,0.57,1,18,0.9,22,2500,Hot-Pressed,70,22,29,75,0.087
xxxxx,1,Oatmeal,73,Vegiplants,302.0,Straw,263.0,Biertreber,272.0,Sawdust,63.0,CaSO4,459.0,CaCO,139.0,CaCO,302.0,0.46,1,26,0.65,9,500,Non-Pressed,80,26,17,85,0.068
zzzzzzzz,0,Barley,65,Vegiplants,202.0,Grass,223.0,Biertreber,63.0,Sawdust,412.0,CaCO,224.0,CaCO,442.0,CaSO4,235.0,0.58,1,26,0.93,9,3500,Hot-Pressed,70,75,65,80,0.037
zzzzzzzz,0,Bulgur,100,Sawdust,251.0,Biertreber,325.0,Rapstraw,125.0,Straw,199.0,cellulose,103.0,cellulose,289.0,cellulose,508.0,0.56,0,18,0.8,13,4500,Hot-Pressed,75,59,41,85,0.003
yyyyyyy,1,Barley,72,Straw,111.0,Hemp,50.0,Biertreber,294.0,Sawdust,444.0,cellulose,577.0,CaCO,292.0,CaSO4,31.0,0.47,1,20,0.81,14,1500,Cold-Pressed,70,32,41,80,0.089
yyyyyyy,0,Buckwheat,100,Straw,231.0,Vegiplants,90.0,Vegiplants,309.0,Sawdust,270.0,CaCO,22.0,CaSO4,693.0,CaCO,184.0,0.4,1,23,0.9,20,2500,Cold-Pressed,75,10,5,75,0.093
xxxxx,0,Oatmeal,92,Biertreber,10.0,Biertreber,435.0,Biertreber,406.0,Straw,48.0,cellulose,196.0,CaCO,74.0,CaCO,630.0,0.38,1,18,0.72,7,3000,Hot-Pressed,85,10,5,80,0.025
xxxxx,1,Bulgur,50,Sawdust,392.0,Grass,58.0,Straw,356.0,Straw,94.0,CaCO,229.0,CaCO,369.0,CaCO,302.0,0.35,0,26,0.88,18,1000,Hot-Pressed,85,13,53,80,0.039
xxxxx,1,Buckwheat,87,Grass,124.0,Grass,271.0,Hemp,207.0,Straw,297.0,CaSO4,124.0,CaSO4,590.0,CaSO4,186.0,0.31,0,24,0.71,13,4000,Non-Pressed,80,45,65,75,0.033
xxxxx,1,Barley,52,Grass,410.0,Hemp,20.0,Rapstraw,344.0,Biertreber,126.0,CaCO,384.0,CaCO,11.0,CaSO4,504.0,0.35,1,23,0.67,10,2000,Cold-Pressed,85,60,29,85,0.006
zzzzzzzz,0,Barley,59,Straw,363.0,Vegiplants,338.0,Rapstraw,13.0,Biertreber,186.0,CaCO,269.0,cellulose,143.0,CaSO4,488.0,0.48,1,20,0.95,22,1000,Hot-Pressed,70,52,41,70,0.096
yyyyyyy,0,Bulgur,85,Biertreber,332.0,Biertreber,84.0,Sawdust,278.0,Rapstraw,206.0,cellulose,127.0,cellulose,285.0,CaCO,488.0,0.37,1,20,0.87,16,3500,Non-Pressed,70,11,41,80,0.033
xxxxx,1,Oatmeal,56,Sawdust,479.0,Vegiplants,6.0,Sawdust,237.0,Hemp,179.0,CaCO,164.0,cellulose,182.0,cellulose,553.0,0.48,1,20,0.92,8,500,Cold-Pressed,75,75,41,80,0.041
zzzzzzzz,1,Buckwheat,78,Hemp,214.0,Vegiplants,241.0,Vegiplants,49.0,Hemp,397.0,CaSO4,164.0,CaCO,560.0,cellulose,176.0,0.52,0,26,0.87,16,4500,Non-Pressed,85,51,17,85,0.063
yyyyyyy,1,Oatmeal,61,Biertreber,318.0,Grass,120.0,Hemp,365.0,Sawdust,97.0,CaCO,103.0,CaCO,723.0,CaCO,74.0,0.38,1,22,0.74,21,2500,Non-Pressed,80,65,41,75,0.058
zzzzzzzz,0,Bulgur,90,Biertreber,144.0,Biertreber,238.0,Straw,374.0,Vegiplants,144.0,cellulose,350.0,cellulose,411.0,CaSO4,139.0,0.57,0,25,0.69,22,4500,Cold-Pressed,70,34,5,80,0.043
zzzzzzzz,0,Buckwheat,76,Grass,341.0,Sawdust,426.0,Sawdust,58.0,Straw,75.0,CaCO,290.0,CaSO4,276.0,CaSO4,334.0,0.36,1,26,0.86,15,1000,Non-Pressed,75,47,65,80,0.01
yyyyyyy,0,Barley,94,Straw,280.0,Grass,165.0,Hemp,162.0,Hemp,293.0,CaSO4,88.0,cellulose,440.0,CaCO,372.0,0.57,0,18,0.82,7,1500,Hot-Pressed,75,43,5,80,0.009
zzzzzzzz,0,Oatmeal,66,Hemp,74.0,Hemp,270.0,Biertreber,116.0,Straw,439.0,cellulose,408.0,cellulose,408.0,cellulose,83.0,0.42,0,23,0.86,16,3000,Non-Pressed,80,43,65,85,0.009
zzzzzzzz,0,Bulgur,74,Biertreber,129.0,Hemp,276.0,Grass,306.0,Straw,189.0,CaSO4,53.0,CaSO4,276.0,CaSO4,570.0,0.58,0,21,0.62,17,2000,Cold-Pressed,70,73,41,85,0.048
yyyyyyy,1,Bulgur,68,Rapstraw,374.0,Biertreber,236.0,Sawdust,183.0,Grass,107.0,cellulose,277.0,CaSO4,490.0,CaCO,133.0,0.53,0,18,0.9,19,1000,Hot-Pressed,85,79,29,70,0.02
yyyyyyy,1,Bulgur,69,Hemp,72.0,Straw,317.0,Vegiplants,250.0,Sawdust,261.0,CaSO4,551.0,cellulose,248.0,CaCO,101.0,0.33,1,27,0.92,11,2500,Hot-Pressed,70,38,29,85,0.026
yyyyyyy,1,Buckwheat,53,Biertreber,221.0,Vegiplants,119.0,Sawdust,225.0,Rapstraw,335.0,cellulose,382.0,cellulose,162.0,CaSO4,356.0,0.37,1,28,0.85,11,4000,Cold-Pressed,85,17,41,75,0.001
zzzzzzzz,1,BierTreber,81,Hemp,53.0,Biertreber,98.0,Vegiplants,633.0,Biertreber,116.0,CaCO,630.0,CaSO4,49.0,CaSO4,221.0,0.45,1,28,0.68,11,2500,Cold-Pressed,80,15,41,80,0.068
zzzzzzzz,1,BierTreber,92,Grass,336.0,Sawdust,4.0,Hemp,252.0,Sawdust,309.0,CaSO4,215.0,CaCO,386.0,CaSO4,299.0,0.52,1,22,0.61,15,500,Cold-Pressed,70,68,17,80,0.007
zzzzzzzz,0,Oatmeal,67,Straw,256.0,Biertreber,230.0,Grass,264.0,Grass,150.0,cellulose,298.0,cellulose,30.0,CaSO4,572.0,0.47,0,27,0.78,20,2000,Non-Pressed,85,22,41,80,0.004
zzzzzzzz,0,Barley,92,Straw,63.0,Hemp,577.0,Straw,190.0,Sawdust,70.0,cellulose,189.0,CaSO4,232.0,CaCO,479.0,0.33,0,26,0.79,20,2000,Hot-Pressed,80,47,41,70,0.047
zzzzzzzz,0,BierTreber,93,Straw,339.0,Hemp,380.0,Vegiplants,12.0,Biertreber,169.0,CaSO4,101.0,cellulose,521.0,cellulose,278.0,0.43,0,18,0.79,16,1500,Hot-Pressed,85,18,65,80,0.004
xxxxx,1,Bulgur,80,Grass,343.0,Straw,173.0,Biertreber,173.0,Rapstraw,210.0,cellulose,91.0,CaSO4,394.0,CaCO,415.0,0.33,0,23,0.85,7,2000,Non-Pressed,70,58,29,75,0.081
zzzzzzzz,1,BierTreber,65,Biertreber,131.0,Straw,216.0,Hemp,301.0,Vegiplants,252.0,cellulose,36.0,CaSO4,403.0,CaCO,460.0,0.39,1,25,0.8,10,1500,Cold-Pressed,85,38,65,80,0.021
xxxxx,1,Bulgur,86,Biertreber,237.0,Vegiplants,391.0,Rapstraw,178.0,Hemp,94.0,CaSO4,30.0,CaCO,597.0,CaSO4,273.0,0.42,0,18,0.82,16,3000,Hot-Pressed,70,40,29,75,0.032
zzzzzzzz,0,Oatmeal,68,Sawdust,320.0,Rapstraw,151.0,Sawdust,185.0,Sawdust,245.0,cellulose,53.0,CaCO,442.0,cellulose,405.0,0.48,1,28,0.75,17,1000,Non-Pressed,75,29,29,75,0.068
zzzzzzzz,0,Buckwheat,92,Grass,231.0,Vegiplants,383.0,Hemp,117.0,Rapstraw,168.0,CaCO,300.0,cellulose,260.0,cellulose,340.0,0.39,1,23,0.86,7,2000,Non-Pressed,80,37,29,70,0.026
zzzzzzzz,1,Buckwheat,87,Vegiplants,260.0,Straw,152.0,Straw,6.0,Biertreber,482.0,CaCO,331.0,cellulose,366.0,CaCO,203.0,0.47,1,19,0.84,18,1000,Hot-Pressed,80,78,29,85,0.075
xxxxx,0,Barley,59,Straw,237.0,Rapstraw,169.0,Sawdust,139.0,Biertreber,355.0,CaSO4,164.0,cellulose,498.0,CaCO,238.0,0.6,1,24,0.95,17,3000,Non-Pressed,70,42,65,80,0.047
zzzzzzzz,0,Barley,50,Vegiplants,372.0,Biertreber,203.0,Straw,299.0,Straw,26.0,cellulose,138.0,CaSO4,346.0,CaSO4,415.0,0.58,1,28,0.85,11,4000,Cold-Pressed,85,22,65,85,0.027
zzzzzzzz,1,Oatmeal,83,Straw,182.0,Straw,364.0,Sawdust,253.0,Sawdust,101.0,CaCO,353.0,cellulose,250.0,cellulose,297.0,0.54,1,25,0.8,9,3500,Hot-Pressed,85,69,5,80,0.015
zzzzzzzz,1,Buckwheat,60,Vegiplants,186.0,Sawdust,294.0,Hemp,42.0,Straw,378.0,CaSO4,306.0,CaCO,287.0,cellulose,306.0,0.58,0,20,0.89,22,3000,Non-Pressed,70,75,17,80,0.066
zzzzzzzz,1,Barley,74,Sawdust,487.0,Hemp,159.0,Grass,114.0,Rapstraw,139.0,CaCO,279.0,CaCO,153.0,cellulose,468.0,0.57,1,26,0.81,8,3000,Cold-Pressed,75,40,53,70,0.067
yyyyyyy,0,Oatmeal,55,Sawdust,419.0,Vegiplants,35.0,Sawdust,258.0,Straw,188.0,CaSO4,187.0,cellulose,484.0,cellulose,229.0,0.39,1,21,0.75,10,1500,Cold-Pressed,85,72,17,70,0.039
xxxxx,0,Bulgur,80,Sawdust,51.0,Grass,227.0,Vegiplants,337.0,Biertreber,286.0,CaCO,378.0,cellulose,452.0,cellulose,69.0,0.44,0,28,0.91,17,2000,Cold-Pressed,85,79,29,75,0.066
yyyyyyy,0,Oatmeal,87,Grass,506.0,Straw,324.0,Vegiplants,41.0,Rapstraw,29.0,CaCO,60.0,cellulose,443.0,cellulose,396.0,0.35,0,23,0.85,14,3500,Non-Pressed,85,22,41,75,0.06
zzzzzzzz,1,Oatmeal,55,Grass,74.0,Grass,319.0,Straw,491.0,Biertreber,16.0,CaCO,55.0,CaCO,227.0,cellulose,618.0,0.56,1,24,0.87,21,2000,Cold-Pressed,70,68,65,75,0.071
yyyyyyy,0,Buckwheat,74,Rapstraw,84.0,Vegiplants,176.0,Hemp,237.0,Sawdust,404.0,CaCO,214.0,CaCO,313.0,cellulose,374.0,0.59,0,21,0.66,17,1500,Hot-Pressed,75,32,65,85,0.063
xxxxx,1,Barley,84,Hemp,186.0,Rapstraw,195.0,Straw,102.0,Rapstraw,418.0,CaSO4,491.0,CaSO4,49.0,CaSO4,360.0,0.55,1,24,0.66,17,2500,Non-Pressed,85,33,41,70,0.015
yyyyyyy,1,Buckwheat,77,Vegiplants,256.0,Biertreber,14.0,Biertreber,291.0,Biertreber,339.0,CaCO,553.0,CaCO,314.0,cellulose,33.0,0.35,1,21,0.79,6,4000,Cold-Pressed,85,12,65,70,0.068
yyyyyyy,0,Buckwheat,76,Straw,332.0,Vegiplants,0.0,Vegiplants,428.0,Straw,140.0,cellulose,145.0,CaSO4,224.0,CaSO4,531.0,0.53,1,28,0.68,16,500,Hot-Pressed,80,61,41,85,0.043
zzzzzzzz,0,Bulgur,96,Grass,378.0,Sawdust,113.0,Grass,87.0,Grass,322.0,cellulose,321.0,cellulose,504.0,cellulose,75.0,0.54,0,22,0.84,20,1000,Non-Pressed,75,28,17,80,0.069
yyyyyyy,1,Oatmeal,63,Hemp,161.0,Biertreber,197.0,Biertreber,248.0,Biertreber,294.0,CaCO,297.0,CaCO,176.0,CaSO4,427.0,0.45,0,22,0.73,15,500,Hot-Pressed,80,66,29,70,0.037
zzzzzzzz,1,BierTreber,92,Straw,253.0,Rapstraw,118.0,Biertreber,147.0,Sawdust,382.0,cellulose,265.0,CaCO,499.0,cellulose,136.0,0.58,1,22,0.72,16,3500,Non-Pressed,70,33,17,75,0.052
yyyyyyy,0,Bulgur,69,Straw,138.0,Straw,525.0,Straw,63.0,Grass,173.0,CaSO4,285.0,CaSO4,335.0,CaSO4,280.0,0.49,1,18,0.77,22,4500,Non-Pressed,75,30,5,70,0.068
yyyyyyy,0,Barley,76,Sawdust,208.0,Rapstraw,204.0,Grass,204.0,Biertreber,284.0,CaSO4,315.0,CaSO4,115.0,cellulose,470.0,0.35,0,21,0.81,17,1000,Hot-Pressed,80,25,65,80,0.076
yyyyyyy,1,Bulgur,80,Sawdust,308.0,Straw,261.0,Grass,197.0,Biertreber,134.0,CaSO4,423.0,cellulose,375.0,cellulose,102.0,0.53,1,25,0.73,8,1000,Hot-Pressed,75,77,17,75,0.085
yyyyyyy,1,Barley,96,Rapstraw,429.0,Rapstraw,271.0,Grass,194.0,Straw,6.0,CaSO4,253.0,CaSO4,341.0,cellulose,306.0,0.31,0,21,0.93,8,2000,Non-Pressed,70,35,65,85,0.013
zzzzzzzz,1,Bulgur,76,Biertreber,63.0,Vegiplants,104.0,Hemp,324.0,Straw,410.0,cellulose,139.0,cellulose,465.0,CaCO,296.0,0.54,1,19,0.65,11,1000,Cold-Pressed,75,46,53,85,0.046
zzzzzzzz,1,Bulgur,75,Vegiplants,40.0,Vegiplants,260.0,Grass,209.0,Sawdust,391.0,CaSO4,62.0,cellulose,552.0,cellulose,285.0,0.38,0,18,0.8,15,4000,Non-Pressed,75,76,29,80,0.042
yyyyyyy,1,Buckwheat,86,Vegiplants,75.0,Grass,630.0,Sawdust,150.0,Biertreber,45.0,CaCO,310.0,CaCO,238.0,CaSO4,352.0,0.4,1,19,0.82,6,1500,Cold-Pressed,75,74,5,75,0.093
yyyyyyy,1,Oatmeal,65,Hemp,407.0,Sawdust,171.0,Grass,193.0,Vegiplants,129.0,cellulose,387.0,CaSO4,304.0,CaSO4,209.0,0.35,0,23,0.88,10,1500,Cold-Pressed,75,67,41,75,0.017
yyyyyyy,1,Buckwheat,77,Grass,228.0,Biertreber,63.0,Grass,306.0,Vegiplants,302.0,CaCO,703.0,cellulose,52.0,CaCO,145.0,0.34,0,25,0.82,15,4500,Hot-Pressed,80,68,65,80,0.066
zzzzzzzz,1,Buckwheat,75,Sawdust,329.0,Rapstraw,117.0,Straw,79.0,Straw,374.0,CaSO4,374.0,cellulose,266.0,CaCO,260.0,0.34,1,23,0.71,24,1000,Cold-Pressed,85,43,41,75,0.089
zzzzzzzz,1,Buckwheat,54,Rapstraw,174.0,Grass,211.0,Grass,264.0,Rapstraw,250.0,CaCO,528.0,CaCO,143.0,CaCO,228.0,0.53,0,21,0.87,11,3000,Cold-Pressed,85,70,29,75,0.003
zzzzzzzz,0,Oatmeal,60,Straw,340.0,Rapstraw,156.0,Hemp,177.0,Biertreber,228.0,CaSO4,447.0,CaCO,447.0,cellulose,6.0,0.5,0,21,0.92,10,2500,Hot-Pressed,75,30,29,80,0.013
xxxxx,0,Bulgur,93,Sawdust,284.0,Sawdust,337.0,Vegiplants,19.0,Biertreber,261.0,CaSO4,441.0,cellulose,41.0,cellulose,418.0,0.46,1,22,0.92,9,1000,Hot-Pressed,75,31,29,85,0.035
yyyyyyy,0,Barley,97,Grass,189.0,Biertreber,97.0,Biertreber,399.0,Vegiplants,216.0,cellulose,200.0,cellulose,316.0,cellulose,383.0,0.49,0,21,0.77,6,4000,Hot-Pressed,85,72,53,85,0.011
